id,created,modified,start_time_nanos,end_time_nanos,origin_datasource_id,int_val,start_time,end_time,device
302812,2024-07-25 05:08:43.101784+00:00,2024-07-25 05:08:43.101788+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,18,2024-07-25 03:15:07.507829+00:00,2024-07-25 03:15:18.507856+00:00,samsung:SM-G996N:674632a6
302811,2024-07-25 05:08:43.101759+00:00,2024-07-25 05:08:43.101764+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:14:52.507829+00:00,2024-07-25 03:15:07.507829+00:00,samsung:SM-G996N:674632a6
302810,2024-07-25 05:08:43.101734+00:00,2024-07-25 05:08:43.101739+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:14:37.507829+00:00,2024-07-25 03:14:52.507829+00:00,samsung:SM-G996N:674632a6
302809,2024-07-25 05:08:43.101710+00:00,2024-07-25 05:08:43.101715+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:14:22.507829+00:00,2024-07-25 03:14:37.507829+00:00,samsung:SM-G996N:674632a6
302808,2024-07-25 05:08:43.101686+00:00,2024-07-25 05:08:43.101691+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:14:07.507829+00:00,2024-07-25 03:14:22.507829+00:00,samsung:SM-G996N:674632a6
302807,2024-07-25 05:08:43.101662+00:00,2024-07-25 05:08:43.101667+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:13:52.507829+00:00,2024-07-25 03:14:07.507829+00:00,samsung:SM-G996N:674632a6
302806,2024-07-25 05:08:43.101638+00:00,2024-07-25 05:08:43.101643+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:13:37.507829+00:00,2024-07-25 03:13:52.507829+00:00,samsung:SM-G996N:674632a6
302805,2024-07-25 05:08:43.101614+00:00,2024-07-25 05:08:43.101619+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:13:22.507829+00:00,2024-07-25 03:13:37.507829+00:00,samsung:SM-G996N:674632a6
302804,2024-07-25 05:08:43.101590+00:00,2024-07-25 05:08:43.101594+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:13:07.507829+00:00,2024-07-25 03:13:22.507829+00:00,samsung:SM-G996N:674632a6
302803,2024-07-25 05:08:43.101566+00:00,2024-07-25 05:08:43.101571+00:00,1721876932507828600,1721877318507856248,raw:com.google.step_count.cumulative:samsung:SM-G996N:674632a6:Step Counter Sensor,7,2024-07-25 03:12:52.507829+00:00,2024-07-25 03:13:07.507829+00:00,samsung:SM-G996N:674632a6
